ID Cuenta de mayor;Nombre Cuenta de mayor;ID de cliente/proveedor de contrapartida;Nombre de cliente/proveedor de contrapartida;Asiento contable;Asiento contable de anulación;ID centro de costos;Nombre centro de costos;Fecha de contabilización;ID documento original;Periodo contable;Id socio comercial;Nombre socio comercial;Texto cabecera asiento contable;Texto posición asiento contable;Saldo inicial moneda empresa;Importe debe moneda empresa;Importe haber moneda empresa;Saldo moneda empresa
7410200002;LAVADO INTERNO;P000872;ECOLOGY COLOMBIA SAS;300000001358;#;#;Sin asignar;29/1/2018;6513;1;#;Sin asignar;#;Servicio De Lavado Interno;0;4780000;;-8173158934,97
7410200003;LAVADO GENERAL;P000872;ECOLOGY COLOMBIA SAS;300000001358;#;#;Sin asignar;29/1/2018;6513;1;#;Sin asignar;#;Lavado General;0;17668000;;-7603376725,02
7410200004;KIT DE DESMANCHE;P000872;ECOLOGY COLOMBIA SAS;300000001358;#;#;Sin asignar;29/1/2018;6513;1;#;Sin asignar;#;Desmanche;0;2154082;;-6910145966,11
7410200005;LAVADO CHASIS;P000872;ECOLOGY COLOMBIA SAS;300000001358;#;#;Sin asignar;29/1/2018;6513;1;#;Sin asignar;#;Lavado Chasis;0;2230237;;-6698130384,89
7495950001;IVA DESCONTABLE;P000872;ECOLOGY COLOMBIA SAS;300000001357;#;#;Sin asignar;29/1/2018;6513;1;#;Sin asignar;#;IVA DESCONTABLE CONTRATOS DE SER;0;5098140,32;;-1202814704,49
2205010001;CXP PROVEEDORES;P000872;ECOLOGY COLOMBIA SAS;200000000803;#;#;Sin asignar;31/1/2018;FP-26407;1;P000872;ECOLOGY COLOMBIA SAS;Lavado General;Lavado General;0;;31930459,32;7198686908,26
2205010002;CXP NO FACTURADAS;P000872;ECOLOGY COLOMBIA SAS;200000000803;#;#;Sin asignar;31/1/2018;FP-26407;1;P000872;ECOLOGY COLOMBIA SAS;Lavado General;Desmanche;0;2154082;;22277293903,23
2205010002;CXP NO FACTURADAS;P000872;ECOLOGY COLOMBIA SAS;200000000803;#;#;Sin asignar;31/1/2018;FP-26407;1;P000872;ECOLOGY COLOMBIA SAS;Lavado General;IVA DESCONTABLE CONTRATOS DE SER;0;5098140,32;;22282392043,55
2205010002;CXP NO FACTURADAS;P000872;ECOLOGY COLOMBIA SAS;200000000803;#;#;Sin asignar;31/1/2018;FP-26407;1;P000872;ECOLOGY COLOMBIA SAS;Lavado General;Lavado Chasis;0;2230237;;22284622280,55
2205010002;CXP NO FACTURADAS;P000872;ECOLOGY COLOMBIA SAS;200000000803;#;#;Sin asignar;31/1/2018;FP-26407;1;P000872;ECOLOGY COLOMBIA SAS;Lavado General;Lavado General;0;17668000;;22302290280,55
2205010002;CXP NO FACTURADAS;P000872;ECOLOGY COLOMBIA SAS;200000000803;#;#;Sin asignar;31/1/2018;FP-26407;1;P000872;ECOLOGY COLOMBIA SAS;Lavado General;Servicio De Lavado Interno;0;4780000;;22307070280,55
2465250007;RTFTE SERVICIOS 4%;P000872;ECOLOGY COLOMBIA SAS;220000000154;#;#;Sin asignar;31/1/2018;ND-4450;1;#;Sin asignar;#;RETENCION EN LA FUENTE;0;;1073292,76;-58456480896,18
2468080001;TARIFA 8/1000 OTROS SERVICIOS;P000872;ECOLOGY COLOMBIA SAS;220000000154;#;#;Sin asignar;31/1/2018;ND-4450;1;#;Sin asignar;#;RETENCION EN LA FUENTE;0;;214658,35;-59980939224,9
7410200002;LAVADO INTERNO;P000872;ECOLOGY COLOMBIA SAS;300000002715;#;#;Sin asignar;7/2/2018;6833;2;#;Sin asignar;#;Servicio de Cubrimiento;0;1049727;;-8172109207,97
7410200003;LAVADO GENERAL;P000872;ECOLOGY COLOMBIA SAS;300000002715;#;#;Sin asignar;7/2/2018;6833;2;#;Sin asignar;#;Lavado General;0;18018000;;-7585358725,02
7410200004;KIT DE DESMANCHE;P000872;ECOLOGY COLOMBIA SAS;300000002715;#;#;Sin asignar;7/2/2018;6833;2;#;Sin asignar;#;Desmanche;0;7760000;;-6902385966,11
